crop,state,plant_begin,harvest_end,plant_month,plant_day,harvest_month,harvest_day,doy_begin,doy_harvest,growingdays
PEANUTS,12,4/25/2023,11/30/2023,4,25,11,30,115,334,220
POTATOES_spring,12,9/15/2023,6/15/2023,9,15,6,15,258,166,274
RICE,12,3/28/2023,9/15/2023,3,28,9,15,87,258,172
RYE,12,10/4/2023,6/20/2023,10,4,6,20,277,171,260
sorghum_grain,12,5/1/2023,10/30/2023,5,1,10,30,121,303,183
sorghum_silage,12,3/22/2023,10/1/2023,3,22,10,1,81,274,194
soybeans,12,5/1/2023,11/25/2023,5,1,11,25,121,329,209
SUGARCANE,12,9/15/2023,3/21/2023,9,15,3,21,258,80,188
Wheat_Winter,12,11/15/2023,5/31/2023,11,15,5,31,319,151,198
Barley_Winter,13,10/15/2023,6/30/2023,10,15,6,30,288,181,259
Corn_grain,13,3/22/2023,9/22/2023,3,22,9,22,81,265,185
Corn_Silage,13,3/15/2023,7/20/2023,3,15,7,20,74,201,128
Cotton_Upland,13,5/2/2023,12/2/2023,5,2,12,2,122,336,215
hay_Alfalfa,13,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,13,9/15/2023,9/15/2023,9,15,9,15,258,258,366
OATS_fall,13,10/10/2023,6/22/2023,10,10,6,22,283,173,256
PEANUTS,13,5/6/2023,10/31/2023,5,6,10,31,126,304,179
POTATOES_spring,13,9/15/2023,6/15/2023,9,15,6,15,258,166,274
RYE,13,10/4/2023,6/20/2023,10,4,6,20,277,171,260
sorghum_grain,13,4/30/2023,11/19/2023,4,30,11,19,120,323,204
sorghum_silage,13,4/14/2023,9/16/2023,4,14,9,16,104,259,156
soybeans,13,5/17/2023,12/8/2023,5,17,12,8,137,342,206
Wheat_Winter,13,11/3/2023,6/18/2023,11,3,6,18,307,169,228
BEANS,15,5/1/2023,10/15/2023,5,1,10,15,121,288,168
Corn_grain,15,4/1/2023,11/1/2023,4,1,11,1,91,305,215
hay_Alfalfa,15,9/5/2023,9/5/2023,9,5,9,5,248,248,366
PEAS,15,4/10/2023,8/20/2023,4,10,8,20,100,232,133
POTATOES_fall,15,4/15/2023,10/20/2023,4,15,10,20,105,293,189
Barley_Spring,16,4/7/2023,9/8/2023,4,7,9,8,97,251,155
BEANS,16,5/26/2023,10/6/2023,5,26,10,6,146,279,134
CANOLA,16,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,16,5/5/2023,11/10/2023,5,5,11,10,125,314,190
Corn_Silage,16,5/5/2023,10/6/2023,5,5,10,6,125,279,155
hay_Alfalfa,16,9/5/2023,9/5/2023,9,5,9,5,248,248,366
hay_Non_Alfalfa,16,8/20/2023,8/20/2023,8,20,8,20,232,232,366
OATS_Spring,16,4/14/2023,9/8/2023,4,14,9,8,104,251,148
PEAS,16,4/10/2023,8/20/2023,4,10,8,20,100,232,133
POTATOES_fall,16,4/28/2023,10/13/2023,4,28,10,13,118,286,169
sorghum_silage,16,5/19/2023,9/20/2023,5,19,9,20,139,263,125
SUGARBEETS,16,4/3/2023,10/30/2023,4,3,10,30,93,303,211
Wheat_Durum,16,4/10/2023,9/10/2023,4,10,9,10,100,253,154
Wheat_Spring,16,4/7/2023,9/8/2023,4,7,9,8,97,251,155
Wheat_Winter,16,9/22/2023,8/25/2023,9,22,8,25,265,237,338
Barley_Spring,17,4/13/2023,8/19/2023,4,13,8,19,103,231,129
BEANS,17,6/3/2023,10/12/2023,6,3,10,12,154,285,132
Corn_grain,17,4/21/2023,11/5/2023,4,21,11,5,111,309,199
Corn_Silage,17,4/25/2023,9/20/2023,4,25,9,20,115,263,149
Cotton_Upland,17,4/25/2023,11/20/2023,4,25,11,20,115,324,210
hay_Alfalfa,17,9/8/2023,9/8/2023,9,8,9,8,251,251,366
hay_Non_Alfalfa,17,6/28/2023,6/28/2023,6,28,6,28,179,179,366
OATS_Spring,17,3/29/2023,8/7/2023,3,29,8,7,88,219,132
PEAS,17,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,17,4/5/2023,10/1/2023,4,5,10,1,95,274,180
RYE,17,9/12/2023,7/30/2023,9,12,7,30,255,211,322
sorghum_grain,17,5/17/2023,11/8/2023,5,17,11,8,137,312,176
sorghum_silage,17,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,17,5/8/2023,10/26/2023,5,8,10,26,128,299,172
Wheat_Winter,17,10/5/2023,7/11/2023,10,5,7,11,278,192,280
Barley_Spring,18,4/13/2023,8/19/2023,4,13,8,19,103,231,129
Corn_grain,18,5/1/2023,11/10/2023,5,1,11,10,121,314,194
Corn_Silage,18,5/1/2023,9/5/2023,5,1,9,5,121,248,128
hay_Alfalfa,18,9/8/2023,9/8/2023,9,8,9,8,251,251,366
hay_Non_Alfalfa,18,6/28/2023,6/28/2023,6,28,6,28,179,179,366
OATS_Spring,18,4/5/2023,8/5/2023,4,5,8,5,95,217,123
PEAS,18,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,18,4/24/2023,10/19/2023,4,24,10,19,114,292,179
RYE,18,9/12/2023,7/30/2023,9,12,7,30,255,211,322
sorghum_grain,18,5/17/2023,11/8/2023,5,17,11,8,137,312,176
sorghum_silage,18,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,18,5/5/2023,11/1/2023,5,5,11,1,125,305,181
Wheat_Winter,18,10/1/2023,7/15/2023,10,1,7,15,274,196,288
Barley_Spring,19,4/23/2023,9/3/2023,4,23,9,3,113,246,134
Barley_Winter,19,10/1/2023,7/1/2023,10,1,7,1,274,182,274
BEANS,19,5/14/2023,10/9/2023,5,14,10,9,134,282,149
Corn_grain,19,4/25/2023,11/9/2023,4,25,11,9,115,313,199
Corn_Silage,19,4/25/2023,9/20/2023,4,25,9,20,115,263,149
hay_Alfalfa,19,9/15/2023,9/15/2023,9,15,9,15,258,258,366
hay_Non_Alfalfa,19,8/17/2023,8/17/2023,8,17,8,17,229,229,366
OATS_Spring,19,4/2/2023,8/5/2023,4,2,8,5,92,217,126
PEAS,19,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,19,4/25/2023,10/12/2023,4,25,10,12,115,285,171
RYE,19,9/14/2023,7/24/2023,9,14,7,24,257,205,314
sorghum_grain,19,5/20/2023,10/30/2023,5,20,10,30,140,303,164
sorghum_silage,19,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,19,5/8/2023,10/20/2023,5,8,10,20,128,293,166
Wheat_Spring,19,4/23/2023,9/9/2023,4,23,9,9,113,252,140
Wheat_Winter,19,9/26/2023,7/22/2023,9,26,7,22,269,203,300
Barley_Spring,20,3/5/2023,7/1/2023,3,5,7,1,64,182,119
Barley_Winter,20,10/1/2023,7/1/2023,10,1,7,1,274,182,274
BEANS,20,5/28/2023,10/13/2023,5,28,10,13,148,286,139
CANOLA,20,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,20,4/15/2023,10/25/2023,4,15,10,25,105,298,194
Corn_Silage,20,4/15/2023,10/25/2023,4,15,10,25,105,298,194
Cotton_Upland,20,5/20/2023,12/15/2023,5,20,12,15,140,349,210
hay_Alfalfa,20,10/15/2023,10/15/2023,10,15,10,15,288,288,366
hay_Non_Alfalfa,20,9/1/2023,9/1/2023,9,1,9,1,244,244,366
OATS_Spring,20,3/5/2023,8/1/2023,3,5,8,1,64,213,150
PEAS,20,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,20,5/6/2023,10/11/2023,5,6,10,11,126,284,159
RYE,20,9/10/2023,6/25/2023,9,10,6,25,253,176,289
sorghum_grain,20,5/15/2023,11/10/2023,5,15,11,10,135,314,180
sorghum_silage,20,5/19/2023,9/20/2023,5,19,9,20,139,263,125
soybeans,20,5/15/2023,11/1/2023,5,15,11,1,135,305,171
SUGARBEETS,20,4/7/2023,11/4/2023,4,7,11,4,97,308,212
Wheat_Spring,20,4/9/2023,9/17/2023,4,9,9,17,99,260,162
Wheat_Winter,20,9/15/2023,7/5/2023,9,15,7,5,258,186,294
Barley_Winter,21,10/1/2023,6/15/2023,10,1,6,15,274,166,258
Corn_grain,21,4/14/2023,10/24/2023,4,14,10,24,104,297,194
Corn_Silage,21,5/1/2023,9/30/2023,5,1,9,30,121,273,153
Cotton_Upland,21,4/25/2023,11/20/2023,4,25,11,20,115,324,210
hay_Alfalfa,21,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,21,9/1/2023,9/1/2023,9,1,9,1,244,244,366
OATS_fall,21,9/27/2023,7/3/2023,9,27,7,3,270,184,280
POTATOES_fall,21,4/20/2023,10/6/2023,4,20,10,6,110,279,170
RYE,21,10/4/2023,6/20/2023,10,4,6,20,277,171,260
sorghum_grain,21,5/15/2023,11/10/2023,5,15,11,10,135,314,180
sorghum_silage,21,4/14/2023,9/16/2023,4,14,9,16,104,259,156
soybeans,21,5/16/2023,11/14/2023,5,16,11,14,136,318,183
Wheat_Winter,21,10/6/2023,7/4/2023,10,6,7,4,279,185,272
BEANS,22,5/20/2023,9/30/2023,5,20,9,30,140,273,134
CANOLA,22,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,22,3/19/2023,9/5/2023,3,19,9,5,78,248,171
Corn_Silage,22,3/24/2023,8/29/2023,3,24,8,29,83,241,159
Cotton_Upland,22,4/24/2023,10/23/2023,4,24,10,23,114,296,183
hay_Alfalfa,22,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,22,9/1/2023,9/1/2023,9,1,9,1,244,244,366
OATS_fall,22,10/1/2023,6/15/2023,10,1,6,15,274,166,258
PEANUTS,22,5/6/2023,10/31/2023,5,6,10,31,126,304,179
POTATOES_fall,22,4/25/2023,10/10/2023,4,25,10,10,115,283,169
POTATOES_spring,22,9/15/2023,6/15/2023,9,15,6,15,258,166,274
RICE,22,3/28/2023,9/15/2023,3,28,9,15,87,258,172
sorghum_grain,22,4/11/2023,9/10/2023,4,11,9,10,101,253,153
sorghum_silage,22,4/14/2023,9/16/2023,4,14,9,16,104,259,156
soybeans,22,4/23/2023,10/25/2023,4,23,10,25,113,298,186
SUGARCANE,22,8/18/2023,12/17/2023,8,18,12,17,230,351,122
Wheat_Winter,22,10/27/2023,6/7/2023,10,27,6,7,300,158,224
Barley_Spring,23,5/9/2023,9/18/2023,5,9,9,18,129,261,133
BEANS,23,6/15/2023,9/30/2023,6,15,9,30,166,273,108
Corn_grain,23,5/4/2023,11/14/2023,5,4,11,14,124,318,195
Corn_Silage,23,5/12/2023,10/16/2023,5,12,10,16,132,289,158
OATS_Spring,23,5/10/2023,9/22/2023,5,10,9,22,130,265,136
POTATOES_fall,23,5/14/2023,10/10/2023,5,14,10,10,134,283,150
Wheat_Winter,23,9/15/2023,8/7/2023,9,15,8,7,258,219,327
Barley_Winter,24,10/1/2023,6/28/2023,10,1,6,28,274,179,271
Corn_grain,24,4/30/2023,10/22/2023,4,30,10,22,120,295,176
Corn_Silage,24,4/30/2023,10/1/2023,4,30,10,1,120,274,155
hay_Alfalfa,24,9/11/2023,9/11/2023,9,11,9,11,254,254,366
hay_Non_Alfalfa,24,10/2/2023,10/2/2023,10,2,10,2,275,275,366
OATS_Spring,24,4/10/2023,8/15/2023,4,10,8,15,100,227,128
POTATOES_summer,24,4/12/2023,8/11/2023,4,12,8,11,102,223,122
sorghum_grain,24,6/2/2023,11/3/2023,6,2,11,3,153,307,155
soybeans,24,5/28/2023,11/15/2023,5,28,11,15,148,319,172
Wheat_Winter,24,10/17/2023,7/12/2023,10,17,7,12,290,193,269
Barley_Spring,25,4/7/2023,8/27/2023,4,7,8,27,97,239,143
BEANS,25,6/15/2023,9/30/2023,6,15,9,30,166,273,108
Corn_grain,25,5/4/2023,11/14/2023,5,4,11,14,124,318,195
Corn_Silage,25,5/12/2023,10/16/2023,5,12,10,16,132,289,158
POTATOES_fall,25,4/27/2023,10/10/2023,4,27,10,10,117,283,167
Wheat_Winter,25,9/15/2023,8/7/2023,9,15,8,7,258,219,327
Barley_Spring,26,4/13/2023,8/19/2023,4,13,8,19,103,231,129
BEANS,26,6/3/2023,10/12/2023,6,3,10,12,154,285,132
CANOLA,26,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,26,5/1/2023,11/25/2023,5,1,11,25,121,329,209
Corn_Silage,26,5/1/2023,10/10/2023,5,1,10,10,121,283,163
hay_Alfalfa,26,9/11/2023,9/11/2023,9,11,9,11,254,254,366
hay_Non_Alfalfa,26,9/11/2023,9/11/2023,9,11,9,11,254,254,366
OATS_Spring,26,4/13/2023,8/24/2023,4,13,8,24,103,236,134
PEAS,26,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,26,4/24/2023,10/19/2023,4,24,10,19,114,292,179
RYE,26,9/12/2023,7/30/2023,9,12,7,30,255,211,322
sorghum_grain,26,5/17/2023,11/8/2023,5,17,11,8,137,312,176
sorghum_silage,26,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,26,5/11/2023,11/3/2023,5,11,11,3,131,307,177
SUGARBEETS,26,4/10/2023,11/3/2023,4,10,11,3,100,307,208
Wheat_Spring,26,4/10/2023,8/25/2023,4,10,8,25,100,237,138
Wheat_Winter,26,9/22/2023,7/29/2023,9,22,7,29,265,210,311
Barley_Spring,27,4/23/2023,9/3/2023,4,23,9,3,113,246,134
BEANS,27,5/14/2023,10/9/2023,5,14,10,9,134,282,149
CANOLA,27,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,27,4/26/2023,11/8/2023,4,26,11,8,116,312,197
Corn_Silage,27,4/26/2023,10/5/2023,4,26,10,5,116,278,163
hay_Alfalfa,27,9/15/2023,9/15/2023,9,15,9,15,258,258,366
hay_Non_Alfalfa,27,8/17/2023,8/17/2023,8,17,8,17,229,229,366
OATS_Spring,27,4/19/2023,8/24/2023,4,19,8,24,109,236,128
PEAS,27,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,27,4/25/2023,10/12/2023,4,25,10,12,115,285,171
RYE,27,9/14/2023,7/24/2023,9,14,7,24,257,205,314
sorghum_grain,27,5/20/2023,10/30/2023,5,20,10,30,140,303,164
sorghum_silage,27,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,27,5/8/2023,10/20/2023,5,8,10,20,128,293,166
SUGARBEETS,27,4/24/2023,10/19/2023,4,24,10,19,114,292,179
Wheat_Durum,27,4/27/2023,9/16/2023,4,27,9,16,117,259,143
Wheat_Spring,27,4/23/2023,9/9/2023,4,23,9,9,113,252,140
Wheat_Winter,27,9/1/2023,8/25/2023,9,1,8,25,244,237,359
Corn_grain,28,3/24/2023,9/23/2023,3,24,9,23,83,266,184
Corn_Silage,28,3/24/2023,8/29/2023,3,24,8,29,83,241,159
Cotton_Upland,28,4/27/2023,10/29/2023,4,27,10,29,117,302,186
hay_Alfalfa,28,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,28,9/1/2023,9/1/2023,9,1,9,1,244,244,366
OATS_fall,28,9/15/2023,6/25/2023,9,15,6,25,258,176,284
PEANUTS,28,5/6/2023,10/31/2023,5,6,10,31,126,304,179
POTATOES_spring,28,9/15/2023,6/15/2023,9,15,6,15,258,166,274
RICE,28,4/18/2023,10/6/2023,4,18,10,6,108,279,172
sorghum_grain,28,4/14/2023,9/27/2023,4,14,9,27,104,270,167
sorghum_silage,28,4/14/2023,9/16/2023,4,14,9,16,104,259,156
soybeans,28,4/26/2023,10/31/2023,4,26,10,31,116,304,189
Wheat_Winter,28,10/10/2023,6/21/2023,10,10,6,21,283,172,255
Barley_Winter,29,10/1/2023,7/1/2023,10,1,7,1,274,182,274
Corn_grain,29,4/11/2023,11/3/2023,4,11,11,3,101,307,207
Corn_Silage,29,4/25/2023,9/20/2023,4,25,9,20,115,263,149
Cotton_Upland,29,4/29/2023,11/9/2023,4,29,11,9,119,313,195
hay_Alfalfa,29,8/14/2023,8/14/2023,8,14,8,14,226,226,366
hay_Non_Alfalfa,29,7/14/2023,7/14/2023,7,14,7,14,195,195,366
OATS_Spring,29,3/15/2023,7/25/2023,3,15,7,25,74,206,133
PEAS,29,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,29,4/5/2023,10/1/2023,4,5,10,1,95,274,180
RICE,29,4/20/2023,10/18/2023,4,20,10,18,110,291,182
RYE,29,9/12/2023,7/30/2023,9,12,7,30,255,211,322
sorghum_grain,29,5/6/2023,11/7/2023,5,6,11,7,126,311,186
sorghum_silage,29,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,29,5/13/2023,11/8/2023,5,13,11,8,133,312,180
Wheat_Spring,29,4/10/2023,8/25/2023,4,10,8,25,100,237,138
Wheat_Winter,29,10/4/2023,7/10/2023,10,4,7,10,277,191,280
Barley_Spring,30,4/13/2023,9/2/2023,4,13,9,2,103,245,143
BEANS,30,5/10/2023,10/2/2023,5,10,10,2,130,275,146
CANOLA,30,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,30,5/4/2023,12/3/2023,5,4,12,3,124,337,214
Corn_Silage,30,5/4/2023,10/1/2023,5,4,10,1,124,274,151
hay_Alfalfa,30,9/12/2023,9/12/2023,9,12,9,12,255,255,366
hay_Non_Alfalfa,30,8/14/2023,8/14/2023,8,14,8,14,226,226,366
OATS_Spring,30,4/26/2023,9/9/2023,4,26,9,9,116,252,137
PEAS,30,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,30,5/17/2023,10/23/2023,5,17,10,23,137,296,160
RYE,30,9/14/2023,7/24/2023,9,14,7,24,257,205,314
sorghum_grain,30,5/20/2023,11/6/2023,5,20,11,6,140,310,171
sorghum_silage,30,5/20/2023,10/11/2023,5,20,10,11,140,284,145
SUGARBEETS,30,4/20/2023,10/27/2023,4,20,10,27,110,300,191
Wheat_Durum,30,5/1/2023,9/22/2023,5,1,9,22,121,265,145
Wheat_Spring,30,4/14/2023,9/6/2023,4,14,9,6,104,249,146
Wheat_Winter,30,9/12/2023,8/12/2023,9,12,8,12,255,224,335
Barley_Spring,31,3/25/2023,7/25/2023,3,25,7,25,84,206,123
BEANS,31,5/27/2023,10/9/2023,5,27,10,9,147,282,136
CANOLA,31,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,31,4/27/2023,11/10/2023,4,27,11,10,117,314,198
Corn_Silage,31,4/27/2023,11/10/2023,4,27,11,10,117,314,198
hay_Alfalfa,31,9/15/2023,9/15/2023,9,15,9,15,258,258,366
hay_Non_Alfalfa,31,8/17/2023,8/17/2023,8,17,8,17,229,229,366
OATS_Spring,31,4/1/2023,7/30/2023,4,1,7,30,91,211,121
PEAS,31,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,31,5/6/2023,10/11/2023,5,6,10,11,126,284,159
RYE,31,9/12/2023,7/30/2023,9,12,7,30,255,211,322
sorghum_grain,31,5/16/2023,11/8/2023,5,16,11,8,136,312,177
